"All Yours, Stranger (English)",8184006853,9788184006858,Rs. 94,264 Pages,Novoneel Chakraborty,Penguin Random House,2015 July,Paperback,English
The ABC Murders (English),0007282451,9780007282456,Rs. 108,331 Pages,Agatha Christie,HarperCollins Publisher,2007,Paperback,English
And Then There Were None (English),0007282311,9780007282319,Rs. 80,316 Pages,Agatha Christie,HarperCollins Publisher,2007,Paperback,English
The Murder of Roger Ackroyd (English),0007282540,9780007282548,Rs. 99,368 Pages,Agatha Christie,HarperCollins Publisher,2002,Paperback,English
Murder House (English),1784751944,9781784751944,Rs. 380,400 Pages,James Patterson,Random House,2015 September,Paperback,English
The Devotion Of Suspect X (English),0349138737,9780349138732,Rs. 298,448 Pages,,"Little, Brown Book Group",2012,Paperback,English
Deception Point (English),0552161241,9780552161244,Rs. 209,592 Pages,,Transworld,2009,Paperback,English
The Cuckoo's Calling (English),0751549258,9780751549256,Rs. 349,560 Pages,,"Little, Brown Book Group",2013,Paperback,English
Murder on the Orient Express (English),000728263X,9780007282630,Rs. 99,,Agatha Christie,HarperCollins Publisher,2007,Paperback,English
Career of Evil : A Cormoran Strike Novel (English),0751563587,9780751563580,Rs. 454,512 Pages,Robert Galbraith,"Little, Brown Book Group UK",2015 October,Paperback,English
Angels And Demons (English),0552159700,9780552159708,Rs. 320,619 Pages,,Transworld,2009,Paperback,English
The Girl with the Dragon Tattoo,1847245455,9781847245458,Rs. 230,,,Quercus Publishing,2008,Paperback,
Gone Girl (English),1780221355,9781780221359,Rs. 298,480 Pages,,Orion Publishing Group,2012 November,Paperback,English
Killing Floor (English),0553826166,9780553826166,Rs. 250,528 Pages,,Bantam,2010,Paperback,English
Salvation of a Saint (English),0349139342,9780349139340,Rs. 259,384 Pages,,"Little, Brown Book Group",2013 January,Paperback,English
The Racketeer (English),1444757202,9781444757200,Rs. 129,400 Pages,,Hodder & Stoughton,2012,Paperback,English
Mumbaistan: 3 Explosive Crime Thrillers (English),8129120178,9788129120175,Rs. 176,248 Pages,,Rupa Publication,2012,Paperback,English
THE BANKSTER (English),8129120488,9788129120489,Rs. 200,364 Pages,,Rupa Publications India,2012,Paperback,English
