An Introduction to Indian Philosophy (English),8129111950,9788129111951,Rs. 176,404 Pages,,RUPA PUBLICATIONS INDIA PVT LTD.,2007,Paperback,English
The Essential Rumi (English),006231274X,9780062312747,Rs. 499,416 Pages,,HarperCollins Publisher,2013,Paperback,English
The Road Less Travelled,0099727404,9780099727408,Rs. 279,,,Random House,1996,Paperback,
Atlas Shrugged,0451191145,9780451191144,Rs. 209,,,Penguin Publishing Group,1996,Paperback,
Mastery (English),178125091X,9781781250914,Rs. 287,368 Pages,,Profile Books Ltd,2012 November,Paperback,English
A Critical Survey of Indian Philosophy (English) 13th  Edition,8120803647,9788120803640,Rs. 495,415 Pages,,Motilal Banarsidass Pvt. Ltd.(own),2013,Hardcover,English
The Art of War (English),8189497421,9788189497422,Rs. 99,115 Pages,,Timeless Books,2013,Paperback,English
Zen And The Art Of Motorcycle Maintenance: 40th Anniversary Edition,0099598167,9780099598169,Rs. 292,,,Random House,2014,Paperback,
The Story of Philosophy,0671739166,9780671739164,Rs. 295,,,Pocket Books,1991,Paperback,
A New Earth: Create a Better Life,0141039418,9780141039411,Rs. 324,,,Penguin Books Ltd,2009,Paperback,
The Interpretation of Dreams,0465019773,9780465019779,Rs. 424,,,PERSEUS BOOKS GROUP,2010,Paperback,
Living With the Himalayan Masters,8183222714,9788183222716,Rs. 227,404 Pages,,MANJUL PUBLISHING HOUSE,,Paperback,Marathi
