7 Secrets of Shiva (English),938065863X,9789380658636,Rs. 225,420 Pages,Devdutt Pattanaik,Westland,2011,Paperback,English
The Dalai Lama's Cat: A Novel (English),938143171X,9789381431719,Rs. 209,220 Pages,,Hay House,2012,Paperback,English
Karna's Wife : The Outcast's Queen (English),8129120852,9788129120854,Rs. 234,295 Pages,Kavita Kane,Rupa Publications India,2013 August,Paperback,English
Bhagavad-Gita As it is New Edition-Tamil-The Bhaktivedanta Book Trust-Hardcover,8187978236,9788187978237,Rs. 305,810 Pages,,The Bhaktivedanta Book Trust,,Hardcover,Tamil
ASURA TALES OF THE VANQUISHED : THE STORY OF RAVANA AND HIS PEOPLE (English),938157605X,9789381576052,Rs. 237,500 Pages,,Leadstart Publishing Pvt Ltd,2012,Paperback,English
Yajnaseni: The Story of Draupadi (English),8171673236,9788171673230,Rs. 312,408 Pages,Pratibha Ray,Rupa Publications,2012,Paperback,English
The Mahabharata Quest : The Alexander Secret (English),9384030597,9789384030599,Rs. 166,308 Pages,Christopher C. Doyle,Westland,2014,Paperback,English
"Being Hindu : Old Faith, New World and You (English)",0143425323,9780143425328,Rs. 209,232 Pages,Hindol Sengupta,Penguin Books Ltd,2015,Paperback,English
Sons of Sita (English),8183282946,9788183282949,Rs. 224,388 Pages,,Wisdom Tree,2012,Paperback,English
The Pilgrim's Progress (English),0141439718,9780141439716,Rs. 399,,,Penguin Publishing Group,,Paperback,English
